"tempo","valence","liveness","instrumentalness","acousticness","speechiness","loudness","energy","danceability","WeekDate","track_name.x","track_name.y","on_chart"
77.888,0.374,0.605,0,0.482,0.163,-3.68,0.824,0.473,"2020-05-07","Deep Pockets","Deep Pockets",1
170.718,0.526,0.538,0,0.252,0.533,-6.808,0.82,0.41,"2020-05-07","When To Say When","When To Say When",1
86.318,0.316,0.0703,1.94e-05,0.342,0.047,-9.299,0.452,0.458,"2020-05-07","Not You Too (feat. Chris Brown)","Not You Too (feat. Chris Brown)",1
145.074,0.554,0.325,0,0.281,0.116,-7.706,0.506,0.812,"2020-05-07","Desires (with Future)","Desires (with Future)",1
86.46,0.5,0.182,0,0.201,0.224,-5.786,0.477,0.864,"2020-05-07","Time Flies","Time Flies",1
163.949,0.715,0.111,0,0.00606,0.287,-4.629,0.636,0.881,"2020-05-07","Landed","Landed",1
77.271,0.12,0.368,0,0.163,0.108,-5.532,0.373,0.825,"2020-05-07","Pain 1993 (with Playboi Carti)","Pain 1993 (with Playboi Carti)",1
85.687,0.505,0.424,0,0.28,0.351,-7.385,0.57,0.551,"2020-05-07","Losses","Losses",1
80.506,0.476,0.104,0,0.768,0.199,-7.837,0.477,0.787,"2020-05-07","From Florida With Love","From Florida With Love",1
106.869,0.729,0.155,0,0.423,0.343,-3.387,0.766,0.543,"2020-05-07","Demons (feat. Fivio Foreign & Sosa Geek)","Demons (feat. Fivio Foreign & Sosa Geek)",1
144.064,0.239,0.109,0,0.292,0.0826,-4.151,0.792,0.749,"2020-05-07","War","War",1
122.947,0.0397,0.113,0,0.629,0.347,-7.507,0.449,0.735,"2020-09-10","Chicago Freestyle (feat. Giveon)","Chicago Freestyle (feat. Giveon)",1
81.604,0.845,0.113,3.04e-06,0.289,0.209,-8.82,0.49,0.83,"2020-09-10","Toosie Slide","Toosie Slide",1
125.501,0.213,0.117,0.88,0.955,0.0389,-31.16,0.0218,0.193,"2022-06-23","Intro","Intro",1
118.989,0.349,0.11,0.00653,0.238,0.0703,-8.29,0.758,0.718,"2022-06-23","Falling Back","Falling Back",1
